idade,raca,sexo,Populacao,pop_percent
16 a 24 anos,Amarela,Feminino,531,0.00010397550642533384
16 a 24 anos,Amarela,Masculino,466,9.124780789869222e-05
16 a 24 anos,Branca,Feminino,151849,0.029733666054953894
16 a 24 anos,Branca,Masculino,145536,0.02849751281189715
16 a 24 anos,Indígena,Feminino,322,6.305106039351695e-05
16 a 24 anos,Indígena,Masculino,285,5.5806062770659405e-05
16 a 24 anos,Parda,Feminino,151972,0.029757750776781233
16 a 24 anos,Parda,Masculino,157791,0.030897173511035502
16 a 24 anos,Preta,Feminino,64375,0.012605316810039296
16 a 24 anos,Preta,Masculino,66689,0.013058422877587737
25 a 29 anos,Amarela,Feminino,390,7.636619115984972e-05
25 a 29 anos,Amarela,Masculino,295,5.7764170236296574e-05
25 a 29 anos,Branca,Feminino,98377,0.01926327381469881
25 a 29 anos,Branca,Masculino,88452,0.017319852155053914
25 a 29 anos,Indígena,Feminino,266,5.208565858594878e-05
25 a 29 anos,Indígena,Masculino,246,4.816944365467443e-05
25 a 29 anos,Parda,Feminino,93289,0.018266988736182616
25 a 29 anos,Parda,Masculino,90095,0.017641569211658104
25 a 29 anos,Preta,Feminino,41423,0.008111068554908858
25 a 29 anos,Preta,Masculino,41572,0.008140244356146851
30 a 39 anos,Amarela,Feminino,1032,0.00020207669045375616
30 a 39 anos,Amarela,Masculino,904,0.00017701291489360035
30 a 39 anos,Branca,Feminino,215549,0.042206810611062684
30 a 39 anos,Branca,Masculino,184735,0.0361730982664483
30 a 39 anos,Indígena,Feminino,635,0.00012433982406796044
30 a 39 anos,Indígena,Masculino,526,0.00010299645269251526
30 a 39 anos,Parda,Feminino,194066,0.038000208342634345
30 a 39 anos,Parda,Masculino,178753,0.03500175838050414
30 a 39 anos,Preta,Feminino,83226,0.016296545193511928
30 a 39 anos,Preta,Masculino,80789,0.01581935440413615
40 a 49 anos,Amarela,Feminino,1026,0.00020090182597437385
40 a 49 anos,Amarela,Masculino,799,0.00015645278650441006
40 a 49 anos,Branca,Feminino,226449,0.0443411477486072
40 a 49 anos,Branca,Masculino,183730,0.03597630846615176
40 a 49 anos,Indígena,Feminino,595,0.00011650739420541174
40 a 49 anos,Indígena,Masculino,542,0.00010612942463753473
40 a 49 anos,Parda,Feminino,189919,0.03718818117663461
40 a 49 anos,Parda,Masculino,173869,0.03404541869428695
40 a 49 anos,Preta,Feminino,80583,0.015779017390344024
40 a 49 anos,Preta,Masculino,73516,0.014395222844378235
50 a 59 anos,Amarela,Feminino,718,0.00014059211603274896
50 a 59 anos,Amarela,Masculino,594,0.00011631158345884803
50 a 59 anos,Branca,Feminino,206579,0.04045038821438614
50 a 59 anos,Branca,Masculino,162130,0.03174679634037547
50 a 59 anos,Indígena,Feminino,529,0.0001035838849322064
50 a 59 anos,Indígena,Masculino,371,7.264578697513909e-05
50 a 59 anos,Parda,Feminino,158991,0.031132146406911962
50 a 59 anos,Parda,Masculino,138346,0.02708963354410402
50 a 59 anos,Preta,Feminino,65790,0.012882389016426955
50 a 59 anos,Preta,Masculino,54336,0.010639572725286138
60 anos ou mais,Amarela,Feminino,1307,0.0002559246457587784
60 anos ou mais,Amarela,Masculino,1062,0.0002079510128506677
60 anos ou mais,Branca,Feminino,420818,0.08240068674745035
60 anos ou mais,Branca,Masculino,267255,0.052331401072886245
60 anos ou mais,Indígena,Feminino,1087,0.0002128462815147606
60 anos ou mais,Indígena,Masculino,548,0.00010730428911691703
60 anos ou mais,Parda,Feminino,232296,0.04548605318376525
60 anos ou mais,Parda,Masculino,164051,0.032122948784524374
60 anos ou mais,Preta,Feminino,102427,0.020056307338281863
60 anos ou mais,Preta,Masculino,62273,0.012193722620762362
